brand,name,price_usd,price_bdt,image_url,capacity_gb,ddr_generation,speed_mhz,modules,cas_latency,color,price_per_gb
Corsair,Corsair Vengeance RGB 32 GB,119.99,16198.65,,32,DDR5,6400,"2,16",36,White / Black,3.75
G.Skill,G.Skill Trident Z RGB 128 GB,329.99,44548.65,,128,DDR4,3600,"4,32",18,Black,2.578
Kingston,Kingston FURY Beast 32 GB,149.0,20115.0,,32,DDR4,3600,"2,16",18,Black,4.656
G.Skill,G.Skill Trident Z RGB 32 GB,89.99,12148.65,,32,DDR4,4000,"2,16",18,Black,2.812
TEAMGROUP,TEAMGROUP T-Create Classic 32 GB,54.99,7423.65,,32,DDR4,3200,"2,16",22,Silver,1.718
Kingston,Kingston FURY 128 GB,427.99,57778.65,,128,DDR5,5600,"4,32",40,White,3.344
TEAMGROUP,TEAMGROUP T-Force Delta RGB 32 GB,119.99,16198.65,,32,DDR5,7200,"2,16",34,Black / White,3.75
PNY,PNY XLR8 Gaming RGB 32 GB,89.99,12148.65,,32,DDR5,6400,"2,16",36,Black,2.812
TEAMGROUP,TEAMGROUP T-Create Expert 32 GB,72.99,9853.65,,32,DDR5,5600,"2,16",38,Black / Gold,2.281
Kingston,Kingston FURY Beast 32 GB,101.99,13768.65,,32,DDR5,5600,"2,16",40,Black,3.187
G.Skill,G.Skill Ripjaws V 8 GB,69.98,9447.3,,8,DDR4,2400,"1,8",15,Red,8.748
G.Skill,G.Skill Trident Z RGB 96 GB,349.99,47248.65,,96,DDR5,6400,"2,48",32,Black,3.646
Corsair,Corsair Vengeance LPX 16 GB,89.99,12148.65,,16,DDR4,3200,"2,8",16,White,5.624
Crucial,Crucial CT16G56C46U5 16 GB,40.99,5533.65,,16,DDR5,5600,"1,16",46,Black,2.562
TEAMGROUP,TEAMGROUP T-Force Vulcan 32 GB,79.99,10798.65,,32,DDR5,5200,"2,16",40,Black,2.5
G.Skill,G.Skill Trident Z5 Neo 128 GB,419.99,56698.65,,128,DDR5,6000,"2,64",34,Black,3.281
Patriot,Patriot Viper Xtreme 5 48 GB,166.99,22543.65,,48,DDR5,8200,"2,24",38,Black,3.479
Crucial,Crucial CT16G4DFRA32A 16 GB,51.73,6983.55,,16,DDR4,3200,"1,16",22,Green,3.233
Corsair,Corsair Vengeance RGB Pro 64 GB,985.37,133024.95,,64,DDR4,3200,"4,16",16,Black,15.396
Patriot,Patriot Signature 8 GB,18.98,2562.3,,8,DDR3,1600,"1,8",11,Black / Green,2.373
G.Skill,G.Skill Ripjaws S5 64 GB,229.99,31048.65,,64,DDR5,6400,"2,32",32,Black,3.594
Patriot,Patriot Viper Steel 32 GB,64.99,8773.65,,32,DDR4,3600,"2,16",18,Silver / Black,2.031
Kingston,Kingston FURY Beast 16 GB,55.79,7531.65,,16,DDR5,5200,"2,8",36,Black / Silver,3.487
Crucial,Crucial CT2K32G48C40U5 64 GB,168.99,22813.65,,64,DDR5,4800,"2,32",40,Black,2.64
Corsair,Corsair Vengeance RGB 32 GB,114.99,15523.65,,32,DDR5,5600,"2,16",40,Black / Gray,3.593
G.Skill,G.Skill Trident Z RGB 256 GB,693.05,93561.75,,256,DDR4,3600,"8,32",16,,2.707
TEAMGROUP,TEAMGROUP T-Create Expert 32 GB,81.99,11068.65,,32,DDR5,5600,"2,16",38,White,2.562
G.Skill,G.Skill Trident Z RGB 128 GB,464.43,62698.05,,128,DDR4,4000,"4,32",18,Black,3.628
Patriot,Patriot Viper Venom 64 GB,149.99,20248.65,,64,DDR5,5600,"2,32",36,Black / White,2.344
PNY,PNY XLR8 16 GB,32.99,4453.65,,16,DDR4,3600,"2,8",18,Black,2.062
Corsair,Corsair Vengeance RGB Pro 64 GB,511.0,68985.0,,64,DDR4,3200,"2,32",16,Black,7.984
Corsair,Corsair Dominator Platinum RGB 32 GB,172.99,23353.65,,32,DDR5,6200,"2,16",36,White,5.406
TEAMGROUP,TEAMGROUP T-Force DELTAα RGB 16 GB,77.99,10528.65,,16,DDR5,6000,"2,8",38,Black,4.874
G.Skill,G.Skill Trident Z5 Royal 48 GB,297.99,40228.65,,48,DDR5,8400,"2,24",40,Gold,6.208
ADATA,ADATA XPG Lancer Blade RGB 32 GB,,,,32,DDR5,6000,"2,16",30,White,
G.Skill,G.Skill Trident Z5 Neo RGB 32 GB,99.99,13498.65,,32,DDR5,6000,"2,16",36,Black,3.125
OLOy,OLOy MD4U083016BJDA 16 GB,34.99,4723.65,,16,DDR4,3000,"2,8",16,Black,2.187
Kingston,Kingston FURY Beast RGB 32 GB,137.73,18593.55,,32,DDR5,5600,"2,16",36,Black,4.304
G.Skill,G.Skill Trident Z Neo 16 GB,64.98,8772.3,,16,DDR4,3600,"2,8",16,Black / Silver,4.061
Corsair,Corsair Vengeance 32 GB,,,,32,DDR5,5600,"2,16",36,Black,
Kingston,Kingston FURY Beast RGB 16 GB,72.69,9813.15,,16,DDR5,5600,"2,8",40,Black,4.543
G.Skill,G.Skill Trident Z5 Neo RGB 32 GB,136.99,18493.65,,32,DDR5,6400,"2,16",30,Black,4.281
TEAMGROUP,TEAMGROUP T-Force Delta RGB 16 GB,46.99,6343.65,,16,DDR4,3200,"2,8",16,Black,2.937
G.Skill,G.Skill Trident Z5 Neo RGB 32 GB,139.99,18898.65,,32,DDR5,6000,"2,16",28,Silver / Black,4.375
Silicon Power,Silicon Power XPOWER Storm RGB 32 GB,83.99,11338.65,,32,DDR5,6000,"2,16",36,Gray,2.625
Corsair,Corsair Vengeance RGB 32 GB,,,,32,DDR5,6000,"2,16",36,White,
TEAMGROUP,TEAMGROUP T-Create Expert 16 GB,40.99,5533.65,,16,DDR4,3600,"2,8",18,Gray,2.562
TEAMGROUP,TEAMGROUP T-Force Vulcan 16 GB,,,,16,DDR5,6000,"2,8",38,Black,
Kingston,Kingston FURY Beast RGB 16 GB,78.98,10662.3,,16,DDR5,6000,"2,8",30,Black,4.936
G.Skill,G.Skill Ripjaws S5 32 GB,104.99,14173.65,,32,DDR5,6000,"2,16",30,Black,3.281
TEAMGROUP,TEAMGROUP T-Create Expert 32 GB,89.99,12148.65,,32,DDR5,6400,"2,16",32,White,2.812
Corsair,Corsair Dominator Titanium 48 GB,258.99,34963.65,,48,DDR5,7600,"2,24",36,Black,5.396
Patriot,Patriot Viper Venom 32 GB,89.99,12148.65,,32,DDR5,6200,"2,16",40,Black / White,2.812
PNY,PNY XLR8 Gaming EPIC-X RGB 16 GB,43.99,5938.65,,16,DDR4,3200,"2,8",16,Black,2.749
Corsair,Corsair Vengeance RGB Pro SL 32 GB,109.99,14848.65,,32,DDR4,3600,"2,16",18,Black,3.437
Silicon Power,Silicon Power XPOWER Zenith RGB Gaming 64 GB,169.99,22948.65,,64,DDR5,6000,"2,32",30,Black,2.656
Corsair,Corsair Vengeance 32 GB,96.99,13093.65,,32,DDR5,5200,"2,16",40,White,3.031
G.Skill,G.Skill Trident Z RGB 256 GB,899.0,121365.0,,256,DDR4,2666,"8,32",18,Black,3.512
Kingston,Kingston FURY Beast 16 GB,49.0,6615.0,,16,DDR4,3600,"2,8",17,Black,3.062
Corsair,Corsair Vengeance RGB RT 256 GB,,,,256,DDR4,3600,"8,32",18,Black,
Corsair,Corsair Vengeance 32 GB,82.99,11203.65,,32,DDR5,5200,"1,32",40,Black,2.593
TEAMGROUP,TEAMGROUP T-Force Delta RGB 32 GB,92.99,12553.65,,32,DDR5,6000,"2,16",38,Black,2.906
Silicon Power,Silicon Power XPOWER Zenith RGB Gaming 16 GB,39.97,5395.95,,16,DDR4,3600,"2,8",18,Black,2.498
ADATA,ADATA XPG SPECTRIX D50 16 GB,69.98,9447.3,,16,DDR4,3200,"2,8",16,White,4.374
Crucial,Crucial CT32G56C46U5 32 GB,70.29,9489.15,,32,DDR5,5600,"1,32",46,Black,2.197
G.Skill,G.Skill Ripjaws X 16 GB,36.99,4993.65,,16,DDR3,1600,"2,8",10,Black / Red,2.312
G.Skill,G.Skill Trident Z5 Neo RGB 48 GB,179.99,24298.65,,48,DDR5,6400,"2,24",32,Black,3.75
G.Skill,G.Skill Ripjaws M5 RGB 64 GB,214.99,29023.65,,64,DDR5,6000,"2,32",30,White,3.359
Kingston,Kingston FURY Beast 64 GB,203.0,27405.0,,64,DDR5,5600,"2,32",36,Black,3.172
Kingston,Kingston FURY Beast 16 GB,49.99,6748.65,,16,DDR5,5200,"1,16",40,Black / Silver,3.124
Corsair,Corsair Vengeance LPX 32 GB,109.99,14848.65,,32,DDR4,3600,"4,8",18,Black / Yellow,3.437
Crucial,Crucial Pro 48 GB,123.99,16738.65,,48,DDR5,6000,"2,24",48,Black,2.583
TEAMGROUP,TEAMGROUP T-Force Vulcan 32 GB,94.49,12756.15,,32,DDR5,6400,"2,16",32,Black / Silver,2.953
TEAMGROUP,TEAMGROUP Elite 32 GB,,,,32,DDR4,2666,"2,16",19,Black,
G.Skill,G.Skill Ripjaws V 64 GB,157.99,21328.65,,64,DDR4,3600,"2,32",18,Black,2.469
Netac,Netac Shadow II 32 GB,,,,32,DDR4,3200,"2,16",16,Black,
Crucial,Crucial CT2K16G4DFRA32A 32 GB,99.99,13498.65,,32,DDR4,3200,"2,16",22,Green / Black,3.125
Kingston,Kingston FURY Beast 32 GB,131.19,17710.65,,32,DDR5,6000,"2,16",30,Black,4.1
