brand,name,price_usd,price_bdt,image_url,socket,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,has_integrated_graphics
Intel,Intel Core i5-12500,179.92,24289.2,,LGA1700,6,3.0,4.6,Alder Lake,65,Intel UHD Graphics 770,True
AMD,AMD Ryzen 5 5600X3D,,,,AM4,6,3.3,4.4,Zen 3,105,,False
Intel,Intel Core i5-11600K,,,,LGA1200,6,3.9,4.9,Rocket Lake,125,Intel UHD Graphics 750,True
AMD,AMD Ryzen 5 1600 (12nm),99.0,13365.0,,AM4,6,3.2,3.6,Zen+,65,,False
Intel,Intel Core i7-10700KF,245.0,33075.0,,LGA1200,8,3.8,5.1,Comet Lake,125,,False
AMD,AMD Ryzen 9 3900XT,,,,AM4,12,3.8,4.7,Zen 2,105,,False
Intel,Intel Core i3-10105F,143.53,19376.55,,LGA1200,4,3.7,4.4,Comet Lake,65,,False
AMD,AMD Ryzen 7 3700X,,,,AM4,8,3.6,4.4,Zen 2,65,,False
AMD,AMD Ryzen 5 1600X,99.0,13365.0,,AM4,6,3.6,4.0,Zen,95,,False
AMD,AMD 2650,,,,AM1,2,1.45,,Jaguar,25,Radeon HD 8240,True
Intel,Intel Core i7-11700KF,354.57,47866.95,,LGA1200,8,3.6,5.0,Rocket Lake,125,,False
Intel,Intel Core i7-11700,377.99,51028.65,,LGA1200,8,2.5,4.9,Rocket Lake,65,Intel UHD Graphics 750,True
Intel,Intel Core Ultra 5 245KF,284.99,38473.65,,LGA1851,14,4.2,5.2,Arrow Lake,125,,False
AMD,AMD Ryzen 5 3500,,,,AM4,6,3.6,4.1,Zen 2,65,,False
Intel,Intel Core i3-13100,125.25,16908.75,,LGA1700,4,3.4,4.5,Raptor Lake,60,Intel UHD Graphics 730,True
Intel,Intel Core i9-11900KF,399.0,53865.0,,LGA1200,8,3.5,5.3,Rocket Lake,125,,False
AMD,AMD Ryzen 7 1700X,428.88,57898.8,,AM4,8,3.4,3.8,Zen,95,,False
AMD,AMD Ryzen 7 3800XT,,,,AM4,8,3.9,4.7,Zen 2,105,,False
Intel,Intel Core i7-13700,319.93,43190.55,,LGA1700,16,2.1,5.2,Raptor Lake,65,Intel UHD Graphics 770,True
AMD,AMD Ryzen 3 3300X,110.99,14983.65,,AM4,4,3.8,4.3,Zen 2,65,,False
Intel,Intel Core i9-14900F,499.0,67365.0,,LGA1700,24,2.0,5.8,Raptor Lake Refresh,65,,False
AMD,AMD Ryzen 7 1800X,135.0,18225.0,,AM4,8,3.6,4.0,Zen,95,,False
AMD,AMD Ryzen 5 3600XT,609.9,82336.5,,AM4,6,3.8,4.5,Zen 2,95,,False
AMD,AMD Ryzen 5 7600X3D,,,,AM5,6,4.1,4.7,Zen 4,65,Radeon,True
