brand,name,price_usd,price_bdt,image_url,capacity_gb,form_factor,interface,cache_mb,price_per_gb
Samsung,Samsung 970 Pro,239.99,32398.65,,512,M.2-2280,M.2 PCIe 3.0 X4,512,0.469
Acer,Acer Predator GM7000,52.99,7153.65,,512,M.2-2280,M.2 PCIe 4.0 X4,512,0.103
FanXiang,FanXiang S101,15.99,2158.65,,128,2.5,SATA 6.0 Gb/s,,0.125
Samsung,Samsung 980 Pro w/Heatsink,235.0,31725.0,,2000,M.2-2280,M.2 PCIe 4.0 X4,2048,0.117
Patriot,Patriot P300,102.99,13903.65,,2000,M.2-2280,M.2 PCIe 3.0 X4,,0.051
SanDisk,SanDisk SSD PLUS,27.99,3778.65,,240,2.5,SATA 6.0 Gb/s,,0.117
Patriot,Patriot Burst Elite,17.48,2359.8,,240,2.5,SATA 6.0 Gb/s,,0.073
Lexar,Lexar NM790,629.49,84981.15,,8000,M.2-2280,M.2 PCIe 4.0 X4,,0.079
FanXiang,FanXiang S500 Pro,39.99,5398.65,,512,M.2-2280,M.2 PCIe 3.0 X4,,0.078
Western Digital,Western Digital Green,52.0,7020.0,,240,2.5,SATA 6.0 Gb/s,,0.217
Sabrent,Sabrent Rocket 5,339.99,45898.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,,0.17
Silicon Power,Silicon Power US75,62.99,8503.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.063
PNY,PNY CS900,19.98,2697.3,,250,2.5,SATA 6.0 Gb/s,,0.08
Gigabyte,Gigabyte AORUS Gen5 14000,360.54,48672.9,,2000,M.2-2280,M.2 PCIe 5.0 X4,2048,0.18
TEAMGROUP,TEAMGROUP MP33 PRO,108.99,14713.65,,2000,M.2-2280,M.2 PCIe 3.0 X4,,0.054
Patriot,Patriot P400 Lite,26.99,3643.65,,250,M.2-2280,M.2 PCIe 4.0 X4,,0.108
Orico,Orico D10,14.99,2023.65,,128,M.2-2280,M.2 PCIe 3.0 X4,,0.117
TEAMGROUP,TEAMGROUP T-Force Vulcan Z,19.98,2697.3,,256,2.5,SATA 6.0 Gb/s,,0.078
Western Digital,Western Digital Black SN850,119.99,16198.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.12
KingSpec,KingSpec XF,92.99,12553.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.046
Inland,Inland QN450,64.98,8772.3,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.065
Crucial,Crucial T500 W/Heatsink,106.31,14351.85,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.106
Western Digital,Western Digital WD Green SN3000,44.99,6073.65,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.09
Samsung,Samsung 870 QVO,340.0,45900.0,,4000,2.5,SATA 6.0 Gb/s,,0.085
TEAMGROUP,TEAMGROUP T-FORCE G70 PRO Graphene,74.98,10122.3,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.075
Western Digital,Western Digital Blue SA510,239.99,32398.65,,4000,2.5,SATA 6.0 Gb/s,,0.06
Western Digital,Western Digital Black SN750,115.7,15619.5,,500,M.2-2280,M.2 PCIe 3.0 X4,,0.231
TEAMGROUP,TEAMGROUP T-Force GC PRO,199.99,26998.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,,0.1
Patriot,Patriot P210,93.99,12688.65,,2000,2.5,SATA 6.0 Gb/s,,0.047
Western Digital,Western Digital Black SN770,54.39,7342.65,,250,M.2-2280,M.2 PCIe 4.0 X4,,0.218
TEAMGROUP,TEAMGROUP MP44Q,219.99,29698.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.055
Crucial,Crucial T705 W/Heatsink,219.99,29698.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,,0.11
TEAMGROUP,TEAMGROUP MP44,69.99,9448.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.07
ADATA,ADATA LEGEND 900,79.98,10797.3,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.08
TEAMGROUP,TEAMGROUP T-Force Vulcan Z,189.99,25648.65,,4000,2.5,SATA 6.0 Gb/s,,0.047
Lexar,Lexar NM620,69.56,9390.6,,256,M.2-2280,M.2 PCIe 3.0 X4,,0.272
Gigabyte,Gigabyte AORUS Gen5 14000,166.47,22473.45,,1000,M.2-2280,M.2 PCIe 5.0 X4,2048,0.166
Samsung,Samsung 860 QVO,109.99,14848.65,,1000,2.5,SATA 6.0 Gb/s,,0.11
TEAMGROUP,TEAMGROUP CX2,90.99,12283.65,,2000,2.5,SATA 6.0 Gb/s,,0.045
Samsung,Samsung 860 Pro,924.99,124873.65,,4000,2.5,SATA 6.0 Gb/s,4096,0.231
Samsung,Samsung 850 Evo,195.99,26458.65,,1000,2.5,SATA 6.0 Gb/s,,0.196
ADATA,ADATA MARS 980 BLADE,334.99,45223.65,,4000,M.2-2280,M.2 PCIe 5.0 X4,,0.084
Crucial,Crucial T700 W/Heatsink,379.95,51293.25,,4000,M.2-2280,M.2 PCIe 5.0 X4,,0.095
Kingston,Kingston Fury Renegade,62.99,8503.65,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.126
Verbatim,Verbatim Vi5000,127.59,17224.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.064
Intel,Intel 660p,71.98,9717.3,,512,M.2-2280,M.2 PCIe 3.0 X4,,0.141
Crucial,Crucial T710,429.99,58048.65,,4000,M.2-2280,M.2 PCIe 5.0 X4,,0.107
Intel,Intel 670p,91.9,12406.5,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.092
Sabrent,Sabrent Rocket 4,99.99,13498.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.1
Silicon Power,Silicon Power P34A60,27.15,3665.25,,256,M.2-2280,M.2 PCIe 3.0 X4,,0.106
Patriot,Patriot Viper VP4300,123.99,16738.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.062
Corsair,Corsair MP600 CORE XT,143.06,19313.1,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.072
PNY,PNY CS900,99.99,13498.65,,2000,2.5,SATA 6.0 Gb/s,,0.05
Samsung,Samsung 860 Evo,249.0,33615.0,,2000,2.5,SATA 6.0 Gb/s,2048,0.124
Samsung,Samsung 970 Pro,399.99,53998.65,,1000,M.2-2280,M.2 PCIe 3.0 X4,1024,0.4
Samsung,Samsung 960 Pro,689.95,93143.25,,2000,M.2-2280,M.2 PCIe 3.0 X4,2048,0.345
Silicon Power,Silicon Power A55,21.99,2968.65,,256,2.5,SATA 6.0 Gb/s,,0.086
ADATA,ADATA MARS 980 BLADE,177.99,24028.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,,0.089
Sabrent,Sabrent Rocket 4 Plus,499.99,67498.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.125
FanXiang,FanXiang S500 Pro,59.84,8078.4,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.06
ADATA,ADATA Legend 710,74.98,10122.3,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.075
KingSpec,KingSpec NX-2280,93.99,12688.65,,2000,M.2-2280,M.2 PCIe 3.0 X4,,0.047
ADATA,ADATA LEGEND 900,139.99,18898.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.07
Inland,Inland QN450,119.99,16198.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.06
KIOXIA,KIOXIA EXCERIA G2,143.05,19311.75,,2000,M.2-2280,M.2 PCIe 3.0 X4,,0.072
Samsung,Samsung 970 Evo,259.0,34965.0,,2000,M.2-2280,M.2 PCIe 3.0 X4,2048,0.13
Western Digital,Western Digital Blue,49.0,6615.0,,250,2.5,SATA 6.0 Gb/s,,0.196
Crucial,Crucial P5 Plus,103.92,14029.2,,500,M.2-2280,M.2 PCIe 4.0 X4,1024,0.208
Acer,Acer FA100,59.99,8098.65,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.06
TEAMGROUP,TEAMGROUP MP33 PRO,40.99,5533.65,,512,M.2-2280,M.2 PCIe 3.0 X4,,0.08
SanDisk,SanDisk SSD PLUS,119.99,16198.65,,2000,2.5,SATA 6.0 Gb/s,,0.06
Lexar,Lexar NQ780,61.49,8301.15,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.061
Gigabyte,Gigabyte AORUS Gen4,149.99,20248.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,2048,0.15
Klevv,Klevv CRAS C930,121.99,16468.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.061
Seagate,Seagate FireCuda 530,139.99,18898.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,
Samsung,Samsung PM893,899.99,121498.65,,7680,2.5,SATA 6.0 Gb/s,,0.117
Corsair,Corsair MP600 CORE XT R2,129.99,17548.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.065
Samsung,Samsung 850 Pro,169.99,22948.65,,256,2.5,SATA 6.0 Gb/s,,0.664
Samsung,Samsung 960 Evo,146.03,19714.05,,500,M.2-2280,M.2 PCIe 3.0 X4,512,0.292
MSI,MSI SPATIUM M580 FROZR,549.99,74248.65,,4000,M.2-2280,M.2 PCIe 5.0 X4,8192,
Inland,Inland TN320,35.99,4858.65,,512,M.2-2280,M.2 PCIe 3.0 X4,,0.07
PNY,PNY CS2230,54.99,7423.65,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.055
Intel,Intel Optane 905P,4500.0,607500.0,,1500,2.5,U.2,,3
KIOXIA,KIOXIA EXCERIA PRO,103.69,13998.15,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.104
Kingston,Kingston NV2,229.77,31018.95,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.057
Seagate,Seagate FireCuda 530R,79.99,10798.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.08
Corsair,Corsair MP600 PRO LPX,94.99,12823.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.095
KIOXIA,KIOXIA EXCERIA PRO,169.31,22856.85,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.085
SanDisk,SanDisk SSD PLUS,39.5,5332.5,,480,2.5,SATA 6.0 Gb/s,,0.082
Solidigm,Solidigm P44 Pro,252.0,34020.0,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.126
Intel,Intel 750,2488.87,335997.45,,1200,PCIe,PCIe x4,,2.074
Corsair,Corsair MP600 PRO LPX,159.99,21598.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.08
Corsair,Corsair MP600 PRO LPX,909.99,122848.65,,8000,M.2-2280,M.2 PCIe 4.0 X4,,0.114
Gigabyte,Gigabyte Gen3 2500E,65.36,8823.6,,500,M.2-2280,M.2 PCIe 3.0 X4,,0.131
Crucial,Crucial P310 w/Heatsink,78.98,10662.3,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.079
SK,SK Hynix Platinum P41,58.09,7842.15,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.116
Western Digital,Western Digital Green,44.99,6073.65,,120,2.5,SATA 6.0 Gb/s,,0.375
Orico,Orico O7000,59.49,8031.15,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.059
Patriot,Patriot P210,52.99,7153.65,,1000,2.5,SATA 6.0 Gb/s,,0.053
Lexar,Lexar Professional NM1090 PRO,154.51,20858.85,,1000,M.2-2280,M.2 PCIe 5.0 X4,,0.155
Silicon Power,Silicon Power US75,219.99,29698.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.055
Sabrent,Sabrent Rocket 5,189.99,25648.65,,1000,M.2-2280,M.2 PCIe 5.0 X4,,0.19
TEAMGROUP,TEAMGROUP GX2,32.99,4453.65,,512,2.5,SATA 6.0 Gb/s,,0.064
Kingston,Kingston KC600,61.87,8352.45,,512,2.5,SATA 6.0 Gb/s,,0.121
Patriot,Patriot P320,15.99,2158.65,,128,M.2-2280,M.2 PCIe 3.0 X4,,0.125
Patriot,Patriot Viper VP4300,94.99,12823.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.095
Inland,Inland TN450,62.99,8503.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.063
TEAMGROUP,TEAMGROUP T-FORCE G70 PRO Graphene,279.99,37798.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.07
Western Digital,Western Digital SN530,49.95,6743.25,,512,M.2-2280,M.2 PCIe 3.0 X4,,0.098
Samsung,Samsung 840 Evo,151.44,20444.4,,250,2.5,SATA 6.0 Gb/s,,0.606
PNY,PNY CS2230,44.99,6073.65,,500,M.2-2280,M.2 PCIe 3.0 X4,,0.09
Western Digital,Western Digital Black SN750 SE,61.97,8365.95,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.124
FanXiang,FanXiang S880,245.98,33207.3,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.061
Crucial,Crucial T710,229.99,31048.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,,0.115
TEAMGROUP,TEAMGROUP T-Force Delta Max White RGB Lite,58.99,7963.65,,1000,2.5,SATA 6.0 Gb/s,,0.059
Lexar,Lexar Professional NM1090 PRO,214.49,28956.15,,2000,M.2-2280,M.2 PCIe 5.0 X4,,0.107
Crucial,Crucial T705 W/Heatsink,152.99,20653.65,,1000,M.2-2280,M.2 PCIe 5.0 X4,,0.153
TEAMGROUP,TEAMGROUP MS30,21.99,2968.65,,256,M.2-2280,M.2 SATA,,0.086
Silicon Power,Silicon Power P34A60,21.99,2968.65,,128,M.2-2280,M.2 PCIe 3.0 X4,,0.172
TEAMGROUP,TEAMGROUP T-Force GC PRO,379.99,51298.65,,4000,M.2-2280,M.2 PCIe 5.0 X4,,0.095
Corsair,Corsair MP600 CORE XT R2,68.5,9247.5,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.068
FanXiang,FanXiang S660,122.54,16542.9,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.061
Crucial,Crucial P310 w/Heatsink,144.99,19573.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.072
ADATA,ADATA Ultimate SU650,24.41,3295.35,,240,2.5,SATA 6.0 Gb/s,,0.102
Seagate,Seagate BarraCuda Q5,69.98,9447.3,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.07
Patriot,Patriot P220,18.98,2562.3,,256,2.5,SATA 6.0 Gb/s,,0.074
SK,SK Hynix Gold P31,229.98,31047.3,,2000,M.2-2280,M.2 PCIe 3.0 X4,,0.115
ADATA,ADATA SU800,57.87,7812.45,,512,2.5,SATA 6.0 Gb/s,,0.113
SanDisk,SanDisk SSD PLUS,44.99,6073.65,,500,M.2-2280,M.2 PCIe 3.0 X4,,0.09
Kingston,Kingston SSDNow V300,76.17,10282.95,,120,2.5,SATA 6.0 Gb/s,,0.635
Solidigm,Solidigm P44 Pro,149.85,20229.75,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.15
Corsair,Corsair MP700 Elite w/Heatsink,206.85,27924.75,,2000,M.2-2280,M.2 PCIe 5.0 X4,,0.103
Sabrent,Sabrent Rocket Q,124.99,16873.65,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.125
Corsair,Corsair MP600 PRO NH,139.72,18862.2,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.07
Crucial,Crucial T700 W/Heatsink,139.0,18765.0,,1000,M.2-2280,M.2 PCIe 5.0 X4,,0.139
Silicon Power,Silicon Power A55,32.97,4450.95,,512,M.2-2280,M.2 SATA,,0.064
Western Digital,Western Digital Blue SA510,42.99,5803.65,,500,2.5,SATA 6.0 Gb/s,,0.086
TEAMGROUP,TEAMGROUP Z440 Lite,61.99,8368.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.062
Lexar,Lexar NS100,23.98,3237.3,,256,2.5,SATA 6.0 Gb/s,,
Kingston,Kingston Fury Renegade with Heat Sink,174.66,23579.1,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.087
MSI,MSI SPATIUM M570 HS,405.25,54708.75,,2000,M.2-2280,M.2 PCIe 5.0 X4,4096,0.203
Intel,Intel 670p,52.89,7140.15,,512,M.2-2280,M.2 PCIe 3.0 X4,,0.103
ADATA,ADATA XPG SPECTRIX S40G RGB,49.0,6615.0,,512,M.2-2280,M.2 PCIe 3.0 X4,,0.096
Corsair,Corsair MP600 PRO XT,174.99,23623.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.087
Samsung,Samsung 960 Evo,206.11,27824.85,,1000,M.2-2280,M.2 PCIe 3.0 X4,1024,0.206
Acer,Acer Predator GM7,234.99,31723.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.059
Crucial,Crucial P510 W/Heatsink,109.99,14848.65,,1000,M.2-2280,M.2 PCIe 5.0 X4,,0.11
Silicon Power,Silicon Power UD90,51.34,6930.9,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.103
Solidigm,Solidigm P41 Plus,119.95,16193.25,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.12
TEAMGROUP,TEAMGROUP AX2,48.99,6613.65,,1000,2.5,SATA 6.0 Gb/s,,0.049
SanDisk,SanDisk SSD PLUS,114.99,15523.65,,2000,M.2-2280,M.2 PCIe 3.0 X4,,0.057
Netac,Netac NV7000-t,162.99,22003.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.081
Solidigm,Solidigm P41 Plus,141.94,19161.9,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.071
PNY,PNY CS1030,32.75,4421.25,,250,M.2-2280,M.2 PCIe 3.0 X4,,0.131
PNY,PNY CS2241,37.99,5128.65,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.076
Crucial,Crucial T700 W/Heatsink,249.99,33748.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,,0.125
TEAMGROUP,TEAMGROUP T-FORCE G70 PRO Aluminum,124.99,16873.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.062
Inland,Inland TN470,69.98,9447.3,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.07
ADATA,ADATA SU630,32.99,4453.65,,480,2.5,SATA 6.0 Gb/s,,0.069
Acer,Acer FA100,99.99,13498.65,,2000,M.2-2280,M.2 PCIe 3.0 X4,,0.05
Western Digital,Western Digital Blue SN570,39.99,5398.65,,250,M.2-2280,M.2 PCIe 3.0 X4,,0.16
Crucial,Crucial P1,84.99,11473.65,,500,M.2-2280,M.2 PCIe 3.0 X4,,0.17
ADATA,ADATA XPG GAMMIX S11 Pro,198.9,26851.5,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.199
Lexar,Lexar Professional NM1090 PRO,408.49,55146.15,,4000,M.2-2280,M.2 PCIe 5.0 X4,,0.102
Western Digital,Western Digital Blue,118.0,15930.0,,1000,M.2-2280,M.2 SATA,,0.118
Patriot,Patriot P310,112.99,15253.65,,1920,M.2-2280,M.2 PCIe 3.0 X4,,0.059
MSI,MSI SPATIUM M570 FROZR,239.99,32398.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,4096,0.12
TEAMGROUP,TEAMGROUP GX2,50.99,6883.65,,1000,2.5,SATA 6.0 Gb/s,,0.051
SK,SK Hynix Platinum P51,169.99,22948.65,,1000,M.2-2280,M.2 PCIe 5.0 X4,,0.17
Crucial,Crucial P2,39.99,5398.65,,250,M.2-2280,M.2 PCIe 3.0 X4,,0.16
SanDisk,SanDisk Extreme,79.98,10797.3,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.08
SanDisk,SanDisk Extreme,124.99,16873.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.062
Klevv,Klevv CRAS C930,75.98,10257.3,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.076
Crucial,Crucial P5 Plus W/Heatsink,178.79,24136.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.089
Western Digital,Western Digital Blue,96.99,13093.65,,500,M.2-2280,M.2 SATA,,0.194
SanDisk,SanDisk SSD PLUS,29.99,4048.65,,250,M.2-2280,M.2 PCIe 3.0 X4,,0.12
Samsung,Samsung 860 Evo,216.13,29177.55,,1000,M.2-2280,M.2 SATA,1024,0.216
Seagate,Seagate FireCuda 540,378.09,51042.15,,2000,M.2-2280,M.2 PCIe 5.0 X4,,0.189
Western Digital,Western Digital Blue,210.0,28350.0,,2000,2.5,SATA 6.0 Gb/s,,0.105
ADATA,ADATA Ultimate SU650,59.99,8098.65,,960,2.5,SATA 6.0 Gb/s,,0.062
Patriot,Patriot Burst Elite,89.99,12148.65,,1920,2.5,SATA 6.0 Gb/s,,0.047
TEAMGROUP,TEAMGROUP AX2,90.99,12283.65,,2000,2.5,SATA 6.0 Gb/s,,0.045
Western Digital,Western Digital Black SN850,110.0,14850.0,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.22
TEAMGROUP,TEAMGROUP AX2,30.99,4183.65,,512,2.5,SATA 6.0 Gb/s,,0.061
SK,SK Hynix Gold P31,44.09,5952.15,,500,M.2-2280,M.2 PCIe 3.0 X4,,0.088
Intenso,Intenso Top Performance,35.75,4826.25,,512,M.2-2280,M.2 SATA,,0.07
ADATA,ADATA LEGEND 960 MAX,89.99,12148.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.09
GOODRAM,GOODRAM PX700,107.33,14489.55,,1024,M.2-2280,M.2 PCIe 4.0 X4,,0.105
Kingston,Kingston A2000,99.99,13498.65,,250,M.2-2280,M.2 PCIe 3.0 X4,,0.4
KIOXIA,KIOXIA EXCERIA,74.31,10031.85,,960,2.5,SATA 6.0 Gb/s,,0.077
Corsair,Corsair MP600 GS,69.98,9447.3,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.14
Addlink,Addlink S70,32.88,4438.8,,512,M.2-2280,M.2 PCIe 3.0 X4,,0.064
Corsair,Corsair MP700 PRO w/Heatsink,554.99,74923.65,,4000,M.2-2280,M.2 PCIe 5.0 X4,,0.139
ADATA,ADATA SU800,47.94,6471.9,,256,2.5,SATA 6.0 Gb/s,,0.187
Corsair,Corsair MP600 GS,72.88,9838.8,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.073
Kingston,Kingston Fury Renegade with Heat Sink,109.99,14848.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.11
TEAMGROUP,TEAMGROUP T-Force Cardea Z540,139.99,18898.65,,1000,M.2-2280,M.2 PCIe 5.0 X4,,0.14
Corsair,Corsair MP700 PRO SE with Air Cooler,283.99,38338.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,,0.142
MSI,MSI SPATIUM M470,149.99,20248.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.15
Samsung,Samsung MZVPV512HDGL-00000,69.0,9315.0,,512,M.2-2280,M.2 PCIe 3.0 X4,,0.135
Samsung,Samsung 850 Pro,200.87,27117.45,,512,2.5,SATA 6.0 Gb/s,,0.392
Western Digital,Western Digital Green,99.99,13498.65,,2000,2.5,SATA 6.0 Gb/s,,0.05
Patriot,Patriot Burst Elite,51.99,7018.65,,960,2.5,SATA 6.0 Gb/s,,0.054
Transcend,Transcend 110S,20.99,2833.65,,128,M.2-2280,M.2 PCIe 3.0 X4,,0.164
Kingston,Kingston KC600,89.99,12148.65,,1024,2.5,SATA 6.0 Gb/s,,0.088
MSI,MSI SPATIUM S270,39.0,5265.0,,240,2.5,SATA 6.0 Gb/s,,0.163
Western Digital,Western Digital Red SN700,100.0,13500.0,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.1
TEAMGROUP,TEAMGROUP CX2,48.99,6613.65,,1000,2.5,SATA 6.0 Gb/s,,0.049
Western Digital,Western Digital Blue SN550,69.99,9448.65,,500,M.2-2280,M.2 PCIe 3.0 X4,,0.14
Intel,Intel 660p,199.0,26865.0,,2048,M.2-2280,M.2 PCIe 3.0 X4,,0.097
Western Digital,Western Digital Black AN1500,887.71,119840.85,,2000,PCIe,PCIe x8,,0.444
Western Digital,Western Digital Black SN850,222.99,30103.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.111
TEAMGROUP,TEAMGROUP T-Force Cardea Z540,219.99,29698.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,,0.11
Intenso,Intenso High Performance,20.95,2828.25,,120,2.5,SATA 6.0 Gb/s,,0.175
Orico,Orico D10,119.99,16198.65,,2000,M.2-2280,M.2 PCIe 3.0 X4,,0.06
Western Digital,Western Digital Green,49.0,6615.0,,240,M.2-2280,M.2 SATA,,0.204
SanDisk,SanDisk Ultra 3D,113.15,15275.25,,500,2.5,SATA 6.0 Gb/s,,0.226
Crucial,Crucial P510 W/Heatsink,189.99,25648.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,,0.095
Lexar,Lexar NM790 w/Heatsink,71.48,9649.8,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.071
PNY,PNY CS3140,74.99,10123.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.075
Samsung,Samsung 960 Pro,195.86,26441.1,,512,M.2-2280,M.2 PCIe 3.0 X4,512,0.383
Lexar,Lexar NS100,54.99,7423.65,,1000,2.5,SATA 6.0 Gb/s,,0.055
FanXiang,FanXiang S101,56.99,7693.65,,1000,2.5,SATA 6.0 Gb/s,,0.057
Intel,Intel 670p,168.0,22680.0,,2000,M.2-2280,M.2 PCIe 3.0 X4,,0.084
Kingston,Kingston Fury Renegade with Heat Sink,319.0,43065.0,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.08
Mushkin,Mushkin Vortex Redline,92.99,12553.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,1024,0.093
Gigabyte,Gigabyte AORUS Gen4,154.68,20881.8,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.155
Sabrent,Sabrent Rocket 4,199.99,26998.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.1
MSI,MSI SPATIUM M580 FROZR,322.99,43603.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,4096,0.161
Samsung,Samsung 860 Evo,372.32,50263.2,,4000,2.5,SATA 6.0 Gb/s,4096,0.093
Corsair,Corsair MP600 PRO XT,369.99,49948.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.092
Intel,Intel 660p,149.0,20115.0,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.149
HP,HP EX920,67.98,9177.3,,512,M.2-2280,M.2 PCIe 3.0 X4,512,0.133
Corsair,Corsair MP600 PRO NH,99.99,13498.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.1
Seagate,Seagate FireCuda 520,99.9,13486.5,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.1
PNY,PNY CS3140,139.99,18898.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.07
Intel,Intel DC P4511,159.0,21465.0,,1000,M.2-22110,M.2 PCIe 3.0 X4,,0.159
Crucial,Crucial P2,249.99,33748.65,,2000,M.2-2280,M.2 PCIe 3.0 X4,,0.125
Crucial,Crucial P5,433.03,58459.05,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.433
MSI,MSI SPATIUM M461,249.99,33748.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.062
Lexar,Lexar NS100,72.17,9742.95,,512,2.5,SATA 6.0 Gb/s,,0.141
Western Digital,Western Digital Green SN350,175.53,23696.55,,480,M.2-2280,M.2 PCIe 3.0 X4,,0.366
Western Digital,Western Digital Blue SN570,239.99,32398.65,,2000,M.2-2280,M.2 PCIe 3.0 X4,,0.12
TEAMGROUP,TEAMGROUP Cardea A440,79.98,10797.3,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.08
Lexar,Lexar NM790 w/Heatsink,239.49,32331.15,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.06
