brand,name,price_usd,price_bdt,image_url,capacity_gb,form_factor,interface,cache_mb,price_per_gb
Intel,Intel DC S3500,142.0,19170.0,,160,2.5,SATA 6.0 Gb/s,,0.887
Intel,Intel DC S3500,116.99,15793.65,,120,2.5,SATA 6.0 Gb/s,,0.975
OCZ,OCZ Vertex 450 Series 128,249.95,33743.25,,128,2.5,SATA 6.0 Gb/s,,1.953
Transcend,Transcend 720 mSATA,173.46,23417.1,,128,mSATA,mSATA,,1.355
Toshiba,Toshiba MKx001GRZB,385.0,51975.0,,100,2.5,SAS 6.0 Gb/s,,3.85
Intel,Intel 530,149.0,20115.0,,180,2.5,SATA 6.0 Gb/s,,0.828
OCZ,OCZ Vector 150,380.0,51300.0,,240,2.5,SATA 6.0 Gb/s,,1.583
Toshiba,Toshiba Q Series Pro,293.66,39644.1,,256,2.5,SATA 6.0 Gb/s,,1.147
Seagate,Seagate 600 Pro,199.0,26865.0,,240,2.5,SATA 6.0 Gb/s,,0.829
OCZ,OCZ Vertex 460,200.0,27000.0,,120,2.5,SATA 6.0 Gb/s,,1.667
Plextor,Plextor M6M,527.77,71248.95,,512,mSATA,mSATA,,1.031
Transcend,Transcend MTS400,152.74,20619.9,,256,M.2-2242,M.2 SATA,,0.597
Transcend,Transcend MTS800,281.44,37994.4,,512,M.2-2280,M.2 SATA,,0.55
Intel,Intel DC P3700,185.9,25096.5,,400,2.5,U.2,,0.465
Intel,Intel DC P3600,459.74,62064.9,,400,2.5,U.2,,1.149
Crucial,Crucial MX200,327.77,44248.95,,250,mSATA,mSATA,,1.311
Crucial,Crucial MX200,277.77,37498.95,,500,mSATA,mSATA,,0.556
Transcend,Transcend TS512GMSA370,324.85,43854.75,,512,mSATA,mSATA,,0.634
Transcend,Transcend TS64GMSA370,154.0,20790.0,,64,mSATA,mSATA,,2.406
Hitachi,Hitachi s842,298.81,40339.35,,800,2.5,SAS 6.0 Gb/s,,0.374
Intel,Intel 535,198.66,26819.1,,120,2.5,SATA 6.0 Gb/s,,1.656
Intel,Intel 535,299.0,40365.0,,360,2.5,SATA 6.0 Gb/s,,0.831
Transcend,Transcend TS1TSSD370S,402.37,54319.95,,1000,2.5,SATA 6.0 Gb/s,,0.402
Intel,Intel SSDSC2BB240G601,315.0,42525.0,,240,2.5,SATA 6.0 Gb/s,,1.312
Intel,Intel SSDSC2BB480G601,287.97,38875.95,,480,2.5,SATA 6.0 Gb/s,,0.6
Intel,Intel 540s,165.69,22368.15,,360,2.5,SATA 6.0 Gb/s,,
Intel,Intel 750,475.0,64125.0,,1200,2.5,U.2,,0.396
Intel,Intel 750,403.8,54513.0,,400,2.5,U.2,,1.01
Intel,Intel 750,359.97,48595.95,,800,2.5,U.2,,0.45
Toshiba,Toshiba VX500,128.03,17284.05,,128,2.5,SATA 6.0 Gb/s,,
Intel,Intel Pro 5400s,140.0,18900.0,,120,2.5,SATA 6.0 Gb/s,,1.167
Intel,Intel Pro 5400s,154.0,20790.0,,180,2.5,SATA 6.0 Gb/s,,0.856
Intel,Intel Pro 5400s,250.0,33750.0,,360,2.5,SATA 6.0 Gb/s,,0.694
