brand,name,price_usd,price_bdt,image_url,wattage,efficiency_rating,modular,form_factor,color
be quiet!,be quiet! SFX Power 3 450,124.41,16795.35,,450,bronze,false,SFX,Black
Corsair,Corsair RM850,115.98,15657.3,,850,gold,Full,ATX,Black
Corsair,Corsair RM1200x SHIFT,269.99,36448.65,,1200,gold,Full / Side,ATX,White
be quiet!,be quiet! Pure Power 12,139.9,18886.5,,1000,gold,false,ATX,Black
Corsair,Corsair RM850x (2018),209.5,28282.5,,850,gold,Full,ATX,Black
SeaSonic,SeaSonic VERTEX GX-1200,247.99,33478.65,,1200,gold,Full,ATX,Black / Silver
Asus,Asus ROG LOKI,264.99,35773.65,,1000,platinum,Full,SFX,Silver / Black
MSI,MSI MAG A750BE,79.98,10797.3,,750,bronze,Semi,ATX,Black
MSI,MSI MAG A750GL PCIE5 II,115.0,15525.0,,750,gold,Full,ATX,Black
EVGA,EVGA 850 GQ,84.99,11473.65,,850,gold,Semi,ATX,
Lian,Lian Li EDGE GOLD,481.17,64957.95,,1000,gold,Full,ATX,Black
Asus,Asus TUF Gaming 1000G,194.99,26323.65,,1000,gold,Full,ATX,White
Thermaltake,Thermaltake Toughpower GX3,91.99,12418.65,,850,gold,false,ATX,Black
Asus,Asus ROG THOR P2 Gaming,359.99,48598.65,,1000,platinum,Full,ATX,Silver / Black
Thermaltake,Thermaltake Toughpower GF3 TT Premium,185.99,25108.65,,1200,gold,Full,ATX,Black
Thermaltake,Thermaltake Toughpower GF A3 - TT Premium Edition,100.09,13512.15,,850,gold,Full,ATX,Black
Corsair,Corsair CX650 (2017),147.24,19877.4,,650,bronze,false,ATX,
Cooler Master,Cooler Master V SFX Gold ATX 3.0,139.99,18898.65,,850,gold,Full,SFX,Black
Asus,Asus TUF Gaming 1200G,217.99,29428.65,,1200,gold,Full,ATX,Black
Silverstone,Silverstone DA850R-GMA,173.99,23488.65,,850,gold,Full,ATX,Black
Corsair,Corsair RM750e (2022),175.0,23625.0,,750,gold,Full,ATX,Black
Corsair,Corsair HX1200 Platinum,405.0,54675.0,,1200,platinum,Full,ATX,
be quiet!,be quiet! Pure Power 13 M,109.9,14836.5,,750,gold,Full,ATX,Black
SeaSonic,SeaSonic FOCUS Plus 650 Gold,150.8,20358.0,,650,gold,Full,ATX,
Gigabyte,Gigabyte UD750GM-A,89.99,12148.65,,750,gold,Full,ATX,Black
Silverstone,Silverstone Extreme 500 Bronze,106.64,14396.4,,500,bronze,false,SFX,Black / White
be quiet!,be quiet! Pure Power 12,107.98,14577.3,,750,gold,false,ATX,Black
ADATA,ADATA XPG PYLON,102.51,13838.85,,550,bronze,false,ATX,Black
NZXT,NZXT C1200,259.99,35098.65,,1200,gold,Full,ATX,Black
Lian,Lian Li EDGE GOLD,539.37,72814.95,,1200,gold,Full,ATX,White
MSI,MSI MAG A850GL PCIE5 II,129.99,17548.65,,850,gold,Full,ATX,Black
EVGA,EVGA 650 N1,64.98,8772.3,,650,,false,ATX,
Cooler Master,Cooler Master V850 SFX GOLD,169.99,22948.65,,850,gold,Full,SFX,White
be quiet!,be quiet! SFX L Power,203.42,27461.7,,600,gold,Full,SFX,Black
Corsair,Corsair HX1000 Platinum,405.0,54675.0,,1000,platinum,Full,ATX,
Lian,Lian Li EDGE GOLD,534.05,72096.75,,1200,gold,Full,ATX,Black
