cpu_name,microarchitecture,socket,tdp,core_count
Intel Core i9-10900F,Comet Lake,LGA1200,65,10
AMD A6-6400K,Piledriver,AM3+,65,2
Intel Core i9-10900,Comet Lake,LGA1200,65,10
Intel Celeron G5900,Comet Lake,LGA1200,58,2
Intel Core i9-10900X,Cascade Lake,LGA1200,165,10
Intel Core i5-4670K,Haswell,LGA1150,84,4
Intel Core i5-6500,Skylake,LGA1151,65,4
Intel Core i9-9900K,Coffee Lake Refresh,LGA1151,95,8
AMD Threadripper 2970WX,Zen+,AM4,250,24
Intel Core i9-9820X,Skylake,LGA1151,165,10
AMD Ryzen 9 3900X,Zen 2,AM4,105,12
Intel Core i5-13500T,Raptor Lake,LGA1700,35,14
Intel Core i9-13900F,Raptor Lake,LGA1700,65,24
Intel Xeon E5-1650 V4,Broadwell,LGA1150,140,6
Intel Core i5-11600,Rocket Lake,LGA1200,65,6
Intel Core i7-8086K,Coffee Lake,LGA1151,95,6
AMD EPYC 4464P,Zen 4,AM5,65,12
Intel Xeon E5-2690 V2,Ivy Bridge,LGA1155,130,10
Intel Core i7-2600K,Sandy Bridge,LGA1155,95,4
Intel Core i7-9700K,Coffee Lake Refresh,LGA1151,95,8
Intel Core i5-11500,Rocket Lake,LGA1200,65,6
AMD Ryzen 5 2600,Zen+,AM4,65,6
Intel Core i7-7700K,Kaby Lake,LGA1151,91,4
AMD FX-6350,Piledriver,AM3+,125,6
Intel Core i9-9900,Coffee Lake Refresh,LGA1151,65,8
AMD Ryzen 5 5600XT,Zen 3,AM4,65,6
Intel Core i9-11900F,Rocket Lake,LGA1200,65,8
Intel Core i7-6850K,Broadwell,LGA1150,140,6
AMD FX-9590,Piledriver,AM3+,220,8
Intel Core i9-12900F,Alder Lake,LGA1700,65,16
Intel Celeron G5905,Comet Lake,LGA1200,58,2
Intel Core i9-12900,Alder Lake,LGA1700,65,16
Intel Core i5-14500T,Raptor Lake Refresh,LGA1700,35,14
Intel Core i7-4770S,Haswell,LGA1150,65,4
Intel Core i7-4930K,Ivy Bridge,LGA1155,130,6
Intel Core i5-8600,Coffee Lake,LGA1151,65,6
Intel Core i5-4440,Haswell,LGA1150,84,4
Intel Core i7-6700K,Skylake,LGA1151,91,4
AMD Athlon X2 340,Piledriver,AM3+,65,2
Intel Celeron G3930,Kaby Lake,LGA1151,51,2
Intel Pentium G4560,Kaby Lake,LGA1151,54,2
AMD Ryzen 3 3200G,Zen+,AM4,65,4
AMD FX-8320,Piledriver,AM3+,125,8
AMD Ryzen 5 3400G,Zen+,AM4,65,4
Intel Core i3-530,Westmere,Unknown,73,2
Intel Core i3-12100T,Alder Lake,LGA1700,35,4
Intel Xeon E5-2650 V4,Broadwell,LGA1150,105,12
AMD Ryzen 3 1300X,Zen,AM4,65,4
Intel Core i5-9600,Coffee Lake Refresh,LGA1151,65,6
Intel Core i7-7700,Kaby Lake,LGA1151,65,4
Intel Core i3-3220,Ivy Bridge,LGA1155,55,2
Intel Core i5-10600,Comet Lake,LGA1200,65,6
Intel Pentium Gold G6600,Comet Lake,LGA1200,58,2
Intel Xeon E5-2698 V4,Broadwell,LGA1150,135,20
AMD Athlon II X2 240,K10,Unknown,65,2
Intel Core i9-10920X,Cascade Lake,LGA1200,165,12
Intel Core i7-2700K,Sandy Bridge,LGA1155,95,4
Intel Core i3-7100T,Kaby Lake,LGA1151,35,2
Intel Core i9-9900K (Standard Folding Box),Coffee Lake Refresh,LGA1151,95,8
Intel Core i7-7820X,Skylake,LGA1151,140,8
Intel Xeon E5-2630 V4,Broadwell,LGA1150,85,10
Intel Core i9-13900T,Raptor Lake,LGA1700,35,24
AMD FX-8300,Piledriver,AM3+,95,8
AMD A4-6300,Piledriver,AM3+,65,2
AMD Ryzen 7 3800X,Zen 2,AM4,105,8
Intel Core i7-7800X,Skylake,LGA1151,140,6
Intel Core i9-11900,Rocket Lake,LGA1200,65,8
Intel Pentium Gold G6400,Comet Lake,LGA1200,58,2
Intel Xeon E5-2667 V3,Haswell,LGA1150,135,8
Intel 300,Raptor Lake Refresh,LGA1700,46,2
Intel Xeon E5-4620,Sandy Bridge,LGA1155,95,8
AMD Ryzen 5 2600X,Zen+,AM4,95,6
Intel Core i7-5960X,Haswell,LGA1150,140,8
AMD Threadripper 2990WX,Zen+,AM4,250,32
Intel Core i3-2100,Sandy Bridge,LGA1155,65,2
AMD Threadripper 2950X,Zen+,AM4,180,16
AMD Ryzen 5 3600X,Zen 2,AM4,95,6
Intel Core i5-2500,Sandy Bridge,LGA1155,95,4
Intel Celeron E3400,Wolfdale,Unknown,65,2
AMD Ryzen 5 3600,Zen 2,AM4,65,6
Intel Core i7-6700,Skylake,LGA1151,65,4
Intel Core i3-2120,Sandy Bridge,LGA1155,65,2
Intel Core i3-4170,Haswell Refresh,LGA1150,54,2
AMD EPYC 4344P,Zen 4,AM5,65,8
Intel Core i9-7920X,Skylake,LGA1151,140,12
Intel Xeon E5-2620,Sandy Bridge,LGA1155,95,6
Intel Core i9-9980XE,Skylake,LGA1151,165,18
AMD Ryzen 3 1200 (12nm),Zen+,AM4,65,4
AMD Ryzen 5 5600T,Zen 3,AM4,65,6
Intel Core i5-4430,Haswell,LGA1150,84,4
Intel Core i7-920,Nehalem,LGA1151,130,4
Intel Core i7-4960X Extreme Edition,Ivy Bridge,LGA1155,130,6
Intel Core i5-4670,Haswell,LGA1150,84,4
AMD Threadripper 1900X,Zen,AM4,180,8
Intel Xeon E5-2630 V3,Haswell,LGA1150,85,8
Intel Core i5-9600K,Coffee Lake Refresh,LGA1151,95,6
Intel Core i7-6950X,Broadwell,LGA1150,140,10
AMD A8-9600,Excavator,Unknown,65,4
Intel Core i7-5930K,Haswell,LGA1150,140,6
AMD Ryzen 5 2400G,Zen,AM4,65,4
AMD FX-6100,Bulldozer,AM3+,95,6
Intel Core i7-13700T,Raptor Lake,LGA1700,35,16
Intel Core i5-750,Nehalem,LGA1151,95,4
Intel Xeon E5-2697 V4,Broadwell,LGA1150,145,18
AMD Athlon II X4 640,K10,Unknown,95,4
AMD Ryzen 9 3900,Zen 2,AM4,65,12
Intel Core i3-8350K,Coffee Lake,LGA1151,91,4
Intel Core i5-3330,Ivy Bridge,LGA1155,77,4
Intel Core i7-3930K,Sandy Bridge,LGA1155,130,6
AMD FX-4350,Piledriver,AM3+,125,4
Intel Xeon E5-2697 V2,Ivy Bridge,LGA1155,130,12
Intel Core i7-6900K,Broadwell,LGA1150,140,8
Intel Xeon E5-2683 V4,Broadwell,LGA1150,120,16
AMD EPYC 4364P,Zen 4,AM5,105,8
Intel Xeon E5-1620 V2,Ivy Bridge,LGA1155,130,4
AMD Ryzen 5 PRO 7645,Zen 4,AM5,65,6
Intel Core i9-10940X,Cascade Lake,LGA1200,165,14
AMD FX-8370,Piledriver,AM3+,125,8
Intel Core i7-8700T,Coffee Lake,LGA1151,35,6
AMD A8-7600,Steamroller,Unknown,65,4
Intel Xeon E5-2690 V4,Broadwell,LGA1150,135,14
Intel Core i5-8600K,Coffee Lake,LGA1151,95,6
Intel Core i5-13600,Raptor Lake,LGA1700,65,14
Intel Celeron G5925,Comet Lake,LGA1200,58,2
AMD EPYC 4584PX,Zen 4,AM5,120,16
Intel Core i7-860,Nehalem,LGA1151,95,4
Intel Core i7-6700T,Skylake,LGA1151,35,4
Intel Xeon E5-2670 V3,Haswell,LGA1150,120,12
Intel Core i3-4160,Haswell Refresh,LGA1150,54,2
Intel Xeon E5-2699 V3,Haswell,LGA1150,145,18
Intel Core i7-9700,Coffee Lake Refresh,LGA1151,65,8
Intel Pentium Gold G5400,Coffee Lake,LGA1151,58,2
Intel Xeon E5-2680 V3,Haswell,LGA1150,120,12
Intel Core i9-9980XE,Skylake,LGA1151,165,18
Intel Core i5-7400T,Kaby Lake,LGA1151,35,4
Intel Core i7-7740X,Kaby Lake,LGA1151,112,4
Intel Core i7-9700F,Coffee Lake Refresh,LGA1151,65,8
AMD Ryzen 7 PRO 7745,Zen 4,AM5,65,8
Intel Core i9-7980XE,Skylake,LGA1151,165,18
Intel Core i7-990X Extreme Edition,Westmere,LGA1151,130,6
Intel Core i7-3820,Sandy Bridge,LGA1155,130,4
Intel Core i5-3450,Ivy Bridge,LGA1155,77,4
Intel Xeon E5-2650,Sandy Bridge,LGA1155,95,8
AMD FX-4300,Piledriver,AM3+,95,4
AMD Ryzen 7 1700X,Zen,AM4,95,8
Intel Core i5-9400,Coffee Lake Refresh,LGA1151,65,6
AMD FX-4350,Piledriver,AM3+,125,4
Intel Xeon E5-1630 V4,Broadwell,LGA1150,140,4
Intel Core 2 Quad Q9300,Yorkfield,Unknown,95,4
Intel Xeon E5-2683 V4,Broadwell,LGA1150,120,16
Intel Core i3-3240,Ivy Bridge,LGA1155,55,2
AMD A10-7700K,Steamroller,Unknown,95,4
Intel Core i5-9600KF,Coffee Lake Refresh,LGA1151,95,6
AMD Phenom II X6 1090T Black,K10,Unknown,125,6
Intel Core i7-980X Extreme Edition,Westmere,LGA1151,130,6
Intel Core 2 Quad Q6600,Core,Unknown,100,4
Intel Xeon E5-1620 V3,Haswell,LGA1150,140,4
Intel Core i7-4820K,Ivy Bridge,LGA1155,130,4
Intel Xeon E5-2660 V3,Haswell,LGA1150,105,10
Intel Core i9-7960X,Skylake,LGA1151,165,16
AMD FX-6120,Bulldozer,AM3+,95,6
Intel Xeon E3-1230 V2,Ivy Bridge,LGA1155,69,4
Intel Core i7-9800X,Skylake,LGA1151,165,8
Intel Core i5-9500F,Coffee Lake Refresh,LGA1151,65,6
Intel Core i5-8400T,Coffee Lake,LGA1151,35,6
Intel Xeon E3-1231 V3,Haswell Refresh,LGA1150,80,4
Intel Core i5-6400,Skylake,LGA1151,65,4
Intel Core i7-3770S,Ivy Bridge,LGA1155,65,4
Intel Xeon E5-2680,Sandy Bridge,LGA1155,130,8
Intel Core i5-9500T,Coffee Lake Refresh,LGA1151,35,6
Intel Core i3-10100T,Comet Lake,LGA1200,35,4
Intel Core i7-7700T,Kaby Lake,LGA1151,35,4
Intel Core i3-13100T,Raptor Lake,LGA1700,35,4
AMD Ryzen 7 PRO 7745,Zen 4,AM5,65,8
AMD FX-8350,Piledriver,AM3+,125,8
AMD A8-6600K,Piledriver,AM3+,100,4
Intel Pentium G3258,Haswell Refresh,LGA1150,53,2
Intel Core i5-650,Westmere,LGA1151,73,2
Intel Core i7-5775C,Broadwell,LGA1150,65,4
AMD 5350,Jaguar,AM1,25,4
AMD Ryzen 9 3950X,Zen 2,AM4,105,16
Intel Core 2 Quad Q9650,Yorkfield,Unknown,95,4
AMD Phenom II X6 1100T Black,K10,Unknown,125,6
Intel Core i7-4790S,Haswell Refresh,LGA1150,65,4
Intel Core i5-7500,Kaby Lake,LGA1151,65,4
AMD A10-7850K,Steamroller,Unknown,95,4
Intel Celeron G3900,Skylake,LGA1151,51,2
AMD Athlon II 160u,K10,Unknown,20,1
Intel Xeon E5-2697 V3,Haswell,LGA1150,145,14
AMD FX-8320,Piledriver,AM3+,125,8
Intel Core i7-4770K,Haswell,LGA1150,84,4
AMD FX-6350,Piledriver,AM3+,125,6
Intel Xeon E3-1270 V3,Haswell,LGA1150,80,4
Intel Core i5-6402P,Skylake,LGA1151,65,4
Intel Core i9-10850K,Comet Lake,LGA1200,125,10
Intel Core 2 Quad Q9550,Yorkfield,Unknown,95,4
Intel Core 2 Duo E7500,Wolfdale,Unknown,65,2
AMD FX-6300,Piledriver,AM3+,95,6
Intel Core i7-950,Nehalem,LGA1151,130,4
AMD A10-6800K,Piledriver,AM3+,100,4
Intel Xeon E5-2695 V4,Broadwell,LGA1150,120,18
Intel Core i7-3970X Extreme Edition,Sandy Bridge,LGA1155,150,6
Intel Core i3-8100,Coffee Lake,LGA1151,65,4
AMD A10-9700,Excavator,Unknown,65,4
Intel Core i5-4570S,Haswell,LGA1150,65,4
AMD A8-7680,Puma+,Unknown,65,4
Intel Core i3-10300,Comet Lake,LGA1200,65,4
Intel Core i9-9900X,Skylake,LGA1151,165,10
Intel Core i5-10600K,Comet Lake,LGA1200,125,6
Intel Core i5-4690,Haswell Refresh,LGA1150,84,4
AMD Phenom II X4 820,K10,Unknown,95,4
Intel Core i7-5820K,Haswell,LGA1150,140,6
Intel Core i5-7400,Kaby Lake,LGA1151,65,4
AMD Phenom II X4 965 Black,K10,Unknown,125,4
