cpu_name,microarchitecture,socket,tdp,core_count
AMD Threadripper 2920X,Zen+,AM4,180,12
Intel Core i3-9100,Coffee Lake Refresh,LGA1151,65,4
Intel Core i3-7100,Kaby Lake,LGA1151,51,2
Intel Core i9-10900KF,Comet Lake,LGA1200,125,10
Intel Xeon E5-2687W V4,Broadwell,LGA1150,160,12
AMD FX-6300,Piledriver,AM3+,95,6
Intel Core i9-14900,Raptor Lake Refresh,LGA1700,65,24
Intel Core i9-9900KS,Coffee Lake Refresh,LGA1151,127,8
Intel Core i5-9500,Coffee Lake Refresh,LGA1151,65,6
Intel Core i7-2600,Sandy Bridge,LGA1155,95,4
AMD Ryzen 5 1500X,Zen,AM4,65,4
Intel Core i5-10500,Comet Lake,LGA1200,65,6
Intel Core i9-10980XE,Cascade Lake,LGA1200,165,18
Intel Core i9-7900X,Skylake,LGA1151,140,10
